# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2005_bis_2011_CSV
# Titel (Titel der Datei): Traktanden SR 2005 bis 2011 ohne Beschlüsse
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte zu einer Stadtratssitzung der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 01.12.2017
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2005-bis-2011-ohne-beschluesse.txt/download
# Dateigrösse (Angabe in Bytes): 798720
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Die Datensätze vom Jahr 2005 bis 2012 enthalten noch keine Beschlüsse und die Beschlussnummern sind nicht vollständig aufgeführt. Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter https://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.


Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Datum
2;"Jugendmotion (Nora Krummen) vom 29. April 2010: Licht für Sportanlagen; Fristverlängerung  (BSS: Olibet)   ";SRB 2011-535;Beschlossen;01.12.2011
3;"Projekt Strukturreform Volksschule der Stadt Bern: Zwischenbericht  (SBK: Kusano / BSS: Olibet)  verschoben vom 17. November 2011";SRB 2011-536;Beschlossen;01.12.2011
4;"Motion Fraktion SVPplus (Ueli Jaisli/Roland Jakob, SVP): Stopp! Keine Mehrjahrgangsklassen an Stadtberner Schulen; Ablehnung  (BSS: Olibet)  verschoben vom 17. November 2011";SRB 2011-537;Beschlossen;01.12.2011
5;"Zweijährige Leistungsverträge 2012-2013 im Obdachlosenbereich; vier Verpflichtungskredite in Stadtratskompetenz  (SBK: Jaisli / BSS: Olibet)  verschoben vom 17. November 2011";SRB 2011-538;Beschlossen;01.12.2011
6;"Umnutzung Schanzenpost: Erstellung einer Velostation inkl. Lift; Ausführungskredit (PVS: Trede / TVS: Rytz)";SRB 2011-539;Beschlossen;01.12.2011
7;"Kleine Anfrage Ueli Jaisli (SVP): Statthalterplatz in Bümpliz - Ist das die moderne Art, solche Projekte zu verwirklichen? (TVS: Rytz)  verschoben vom 17. November 2011";SRB 2011-540;Beschlossen;01.12.2011
8;"Interfraktionelle Motion SP/JUSO, GFL/EVP (Thomas Göttin, SP/Ueli Stückelberger, GFL) vom 22. Juni 2006: Koexistenz auf der Achse Thunstrasse-Ostring; Fristverlängerung  (TVS: Rytz)  verschoben vom 17. November 2011";SRB 2011-541;Beschlossen;01.12.2011
9;"Interfraktionelle Motion GB/JA!, SP/JUSO (Cristina Anliker-Mansour, GB/Guglielmo Grossi, SP): Politische Partizipation für Ausländerinnen und Ausländer in der Stadt Bern!; Annahme Punkt 1 /  Ablehnung Punkt 2 / Annahme als Postulat Punkt 2  (GuB: Tschäppät)  verschoben vom 20.10.2011";SRB 2011-542;Beschlossen;01.12.2011
10;"Historisches Museum Bern (BHM): Erweiterungsbau Kubus/Titan des Bernischen Historischen Museums: Konto I1100007, Fr. 7 946 000.00, Baukredit, Anteil Stadt; Nachkreditbegehren  (SBK: Keller / PRD: Tschäppät)";SRB 2011-543;Beschlossen;01.12.2011
11;"Stadttheater Bern, Gesamtsanierung; Projektierungskredit (SBK: Keller / PRD: Tschäppät)";SRB 2011-544;Beschlossen;01.12.2011
12;"Postulat Fraktion GB/JA! (Anne Wegmüller/Lea Bill, JA!) vom 26. Juni 2008: Wegleitung für Mitwirkungs- und Beteiligungsprozesse in der Stadt Bern; Fristverlängerung  (GuB: Tschäppät)";SRB 2011-545;Beschlossen;01.12.2011
13;"Interpellation Fraktion SVPplus (Ueli Jaisli, SVP): Dauernomaden - diesmal im Pfründwald (PRD: Tschäppät)";SRB 2011-546;Beschlossen;01.12.2011
14;"Kleine Anfrage Mario Imhof (FDP): Missachtung des Stadtratsbeschlusses vom 19. August 2010 zur Dringlichen Motion Fraktion FDP - Neugestaltung Abgang Neuengass-Unterführung (FPI: Hayoz)  verschoben vom 17. November 2011";SRB 2011-547;Beschlossen;01.12.2011
15;"Motion Fraktion FDP (Mario Imhof, FDP) vom 6. Mai 2010: Neugestaltung Abgang Neuengass-Unterführung; Begründungsbericht  (FPI: Hayoz) verschoben vom 17. November 2011";SRB 2011-548;Beschlossen;01.12.2011
16;"Motion Martin Schneider (BDP): Solarzellen auf städtische Dächer!; Ablehnung / Annahme als Postulat  (FPI: Hayoz)  verschoben vom 3. und 17. November 2011";SRB 2011-549;Beschlossen;01.12.2011
17;"Interpellation Fraktion GB/JA! (Monika Hächler/Stéphanie Penher, GB): Aula statt Spielplatz. Wie wurde die Länggassbevölkerung in das Projekt einbezogen? (FPI: Hayoz)  verschoben vom 3. und 17. November 2011";SRB 2011-550;Beschlossen;01.12.2011
18;"Interpellation Robert Meyer (SD): Gefährden Umbaupläne die Zukunft des beliebten Freibads 'Weyerli' in seinem einzigartigen Charakter? (FPI: Hayoz)  verschoben vom 3. und 17. November 2011";SRB 2011-551;Beschlossen;01.12.2011
19;"Berufsfeuerwehr der Stadt Bern: Ersatz des Transportkranwagens durch ein Wechselladefahrzeug; Kredit  (FSU: Glauser / SUE: Nause)  vorbehältlich Verabschiedung in der FSU vom 21.11.2011";SRB 2011-552;Beschlossen;01.12.2011
